N,P,K,temperature,humidity,ph,rainfall,label
35,35,1,32,68,6.11,1052,Paddy
38,19,10,28,71,6.48,806,Tobacco
11,13,19,31,52,6.66,754,Ground Nuts
23,0,0,30,70,6.7,1161,Paddy
9,37,3,35,55,7.7,756,Oil seeds
35,18,1,26,66,6.65,783,Tobacco
29,31,4,27,69,6.85,697,Maize
42,33,16,38,68,6.68,642,Barley
22,5,18,34,71,6.45,1380,Paddy
40,6,13,27,50,8.12,1148,Cotton
40,33,5,30,58,6.36,1711,Sugarcane
18,21,0,30,55,6.45,564,Pulses
32,8,2,26,61,7.57,718,Cotton
5,0,15,34,64,6.64,1126,Paddy
36,13,8,34,58,7.99,546,Oil seeds
36,26,0,36,61,5.59,808,Tobacco
11,9,0,33,58,7.32,851,Wheat
35,15,4,30,50,7.38,411,Barley
22,5,5,26,69,7.25,922,Cotton
15,38,2,33,54,7.07,612,Maize
17,40,7,28,64,6.32,1026,Paddy
26,28,13,29,53,6.36,946,Ground Nuts
31,1,13,38,61,6.54,770,Maize
12,19,9,36,65,6.45,944,Tobacco
5,5,0,31,66,7.19,624,Oil seeds
4,16,16,32,67,6.79,604,Barley
29,31,9,28,57,6.29,1174,Paddy
9,28,15,38,57,6.39,1322,Sugarcane
34,29,7,28,56,7.86,839,Cotton
8,15,18,28,66,6.1,851,Ground Nuts
26,1,1,26,71,6.47,1641,Sugarcane
7,23,9,27,56,7.13,883,Cotton
7,38,11,36,50,6.92,737,Oil seeds
40,25,1,26,60,5.9,976,Tobacco
27,5,5,29,52,7.11,893,Cotton
12,22,16,30,61,7.98,1054,Cotton
25,28,6,34,54,6.22,989,Tobacco
17,22,2,29,70,6.95,508,Barley
27,30,12,30,55,6.85,434,Oil seeds
13,35,4,35,63,6.67,594,Barley
23,6,19,36,54,6.21,713,Barley
40,27,16,35,56,6.74,699,Pulses
14,30,9,31,50,6.55,835,Ground Nuts
30,10,12,33,56,6.65,778,Maize
40,11,0,28,67,6.05,345,Millets
24,0,15,36,71,6.26,499,Millets
12,30,5,27,57,6.82,726,Ground Nuts
26,19,11,35,68,6.08,313,Barley
30,33,2,29,65,6.5,658,Maize
36,0,19,33,60,6.57,655,Tobacco
30,32,10,38,56,6.52,1451,Paddy
6,0,0,29,69,6.44,698,Wheat
14,42,0,33,68,7.04,904,Cotton
30,16,13,31,71,6.65,593,Maize
41,13,4,26,62,6.17,970,Ground Nuts
28,8,11,31,69,7.19,811,Pulses
15,37,4,30,51,6.6,1135,Paddy
35,24,14,36,59,6.42,1474,Paddy
22,19,0,31,54,6.68,706,Oil seeds
13,24,14,26,59,6.65,528,Millets
25,24,2,33,56,6.17,1157,Paddy
24,11,12,38,57,6.03,775,Maize
37,29,15,25,56,6.51,1214,Paddy
16,26,9,27,51,7.02,1681,Sugarcane
16,1,3,29,67,6.73,869,Tobacco
14,16,6,34,69,5.87,1190,Paddy
15,26,4,33,70,6.23,1145,Ground Nuts
5,37,2,34,72,6.81,473,Millets
11,32,13,33,56,7.27,795,Cotton
10,17,12,37,66,6.96,1070,Sugarcane
19,0,19,26,63,6.66,1411,Paddy
30,9,0,37,53,6.28,685,Tobacco
11,36,1,30,61,5.68,1216,Paddy
41,11,0,27,56,6.4,1042,Ground Nuts
33,21,4,25,55,6.32,731,Pulses
40,39,19,31,71,7.65,1015,Cotton
28,20,4,27,52,6.08,692,Maize
6,35,7,26,65,7.13,487,Wheat
26,18,13,31,70,7.4,1950,Sugarcane
33,22,15,30,54,7.2,341,Millets
8,10,16,30,68,7.98,998,Cotton
32,14,4,32,68,6.92,703,Maize
31,31,9,29,68,7.07,1292,Sugarcane
29,4,1,36,68,7.6,950,Cotton
28,29,11,34,55,7.74,956,Cotton
30,31,18,27,65,6.01,1125,Sugarcane
35,18,14,31,63,6.11,421,Barley
5,8,18,27,62,6.83,670,Oil seeds
37,12,18,27,66,7.92,541,Oil seeds
33,7,18,28,63,7.11,493,Barley
36,6,14,28,64,6.09,751,Maize
11,22,18,37,72,6.57,604,Pulses
24,2,18,30,57,6.4,1191,Paddy
29,3,16,27,53,6.8,705,Maize
19,9,15,27,52,7.9,997,Cotton
25,11,4,29,67,7.01,393,Millets
36,4,3,30,65,6.89,769,Pulses
40,38,5,28,50,6.76,579,Maize
24,41,6,33,68,7.31,618,Maize
19,4,7,30,63,6.14,819,Tobacco
21,37,4,35,60,6.56,378,Millets
8,16,10,25,65,7.38,835,Pulses
40,17,5,25,59,7.31,1145,Cotton
4,32,0,31,72,6.42,616,Tobacco
19,34,19,38,70,6.02,590,Maize
25,1,17,36,68,6.16,1166,Sugarcane
6,24,14,26,70,6.9,616,Barley
36,10,4,31,55,6.31,324,Millets
25,27,18,33,70,7.42,937,Wheat
33,25,12,31,54,6.8,1730,Sugarcane
14,1,11,33,68,6.03,643,Barley
4,20,0,28,69,6.08,905,Ground Nuts
22,18,17,33,59,6.71,475,Millets
39,9,4,38,53,6.84,1846,Sugarcane
20,6,3,30,56,6.22,535,Barley
36,39,19,31,64,6.57,502,Millets
40,13,7,31,52,5.79,722,Tobacco
37,34,0,30,65,6.87,731,Pulses
39,4,3,35,69,6.63,594,Barley
11,31,14,26,62,6.69,434,Barley
28,14,3,31,60,6.71,466,Millets
10,41,15,36,56,7.71,409,Wheat
12,10,0,36,56,6.96,340,Millets
11,20,7,38,60,7.24,693,Oil seeds
8,25,0,30,66,6.08,605,Tobacco
40,37,6,31,52,7.43,705,Oil seeds
9,2,0,26,53,5.67,1132,Paddy
30,19,14,38,62,7,813,Cotton
29,39,12,36,66,6.69,881,Tobacco
29,4,1,35,54,7.45,1112,Sugarcane
13,38,19,32,61,6.04,943,Tobacco
8,3,2,32,50,6.44,510,Maize
6,22,4,32,61,7.24,925,Wheat
14,27,5,28,57,5.58,990,Tobacco
33,33,16,27,53,6.28,766,Barley
12,34,12,32,53,6.89,794,Wheat
32,15,2,30,65,6.85,1160,Ground Nuts
30,3,12,34,55,6.75,359,Millets
18,27,5,30,60,7.45,712,Maize
18,16,3,34,55,7.57,720,Oil seeds
13,41,9,36,66,7.9,535,Oil seeds
6,20,3,33,56,7.64,854,Cotton
42,34,16,28,63,7.26,583,Maize
40,12,0,28,55,6.74,463,Millets
39,17,19,31,52,7.13,877,Ground Nuts
6,27,2,25,54,7.85,1194,Cotton
15,30,11,27,72,5.62,655,Tobacco
32,16,11,32,70,6.67,1531,Sugarcane
41,35,16,37,66,7.23,420,Wheat
40,25,0,27,57,6.55,712,Wheat
4,29,9,33,63,8,815,Cotton
4,5,0,28,68,6.61,1906,Sugarcane
39,12,16,31,54,7.48,743,Oil seeds
9,22,1,26,65,7.37,303,Millets
27,14,14,33,66,7.03,592,Ground Nuts
27,0,9,30,56,7.44,737,Wheat
35,10,19,32,59,5.91,759,Tobacco
40,4,13,37,64,5.96,1053,Paddy
33,38,17,28,54,7.03,712,Barley
26,8,12,33,69,6.03,515,Ground Nuts
42,42,6,32,57,7.22,724,Wheat
21,39,14,34,71,7.05,1034,Ground Nuts
15,22,19,26,71,6.79,337,Millets
41,2,18,38,60,5.92,1008,Paddy
31,26,0,26,53,6.12,838,Tobacco
28,30,12,28,51,7.19,802,Ground Nuts
21,10,0,29,65,5.79,714,Tobacco
39,10,6,33,56,6.3,774,Pulses
40,4,18,31,68,6.74,351,Barley
26,5,3,26,55,6.68,882,Tobacco
31,3,9,33,67,6.06,756,Barley
14,20,15,25,70,6.63,986,Ground Nuts
12,42,14,37,61,7.13,853,Cotton
8,40,7,38,56,8.15,1156,Cotton
15,30,14,32,54,7.82,424,Oil seeds
30,38,13,27,56,7.24,725,Barley
4,9,3,31,60,6.97,1233,Sugarcane
34,40,17,28,59,7.4,743,Oil seeds
5,9,19,31,66,6.73,772,Maize
18,12,16,25,68,7.02,586,Barley
30,25,14,35,65,7.48,409,Millets
19,20,4,29,68,7.41,400,Millets
35,31,11,36,68,6.25,467,Pulses
26,41,17,28,67,6.12,482,Wheat
11,26,15,25,64,7.3,667,Maize
35,1,15,30,70,6.01,750,Ground Nuts
40,28,17,27,70,7.49,422,Pulses
23,22,14,38,69,6.41,850,Pulses
21,11,14,33,65,6.33,601,Wheat
10,38,1,32,60,7.68,1048,Cotton
18,5,1,32,60,7.3,624,Oil seeds
40,22,19,30,64,7.14,866,Pulses
15,25,12,26,53,7.45,994,Wheat
35,42,6,31,61,7.36,584,Millets
32,22,0,33,61,6.13,565,Pulses
14,37,4,36,59,7.12,406,Barley
37,12,0,32,72,6.39,361,Millets
31,7,4,26,57,6.85,446,Millets
6,27,1,31,57,6.89,423,Wheat
17,10,18,34,64,7.49,692,Wheat
27,19,5,28,61,6.71,516,Pulses
21,26,14,26,68,7.34,1725,Sugarcane
14,33,18,32,66,7.5,826,Cotton
23,26,17,35,62,6.66,1162,Paddy
39,42,18,31,54,5.96,671,Tobacco
27,11,11,38,67,6.47,922,Ground Nuts
25,23,10,37,55,7.81,1188,Cotton
18,20,5,36,66,6.52,459,Millets
31,0,5,26,70,7.15,883,Wheat
6,6,12,31,57,6.43,334,Barley
11,20,16,35,68,6.32,766,Barley
14,22,17,33,51,7.32,454,Pulses
12,30,6,32,57,7.58,1087,Cotton
8,21,8,28,72,6.69,756,Maize
42,41,1,26,65,6.71,308,Millets
10,33,6,37,68,6.72,687,Maize
27,42,18,34,55,5.74,1018,Paddy
12,23,5,32,63,7.2,386,Millets
20,14,13,31,52,7.13,635,Maize
8,0,9,25,68,7.35,1139,Sugarcane
41,36,9,37,72,6.57,603,Maize
29,30,3,27,61,6,344,Millets
30,39,8,37,59,6.89,1509,Sugarcane
19,26,11,33,72,6.99,587,Maize
14,20,15,35,59,7.23,328,Millets
24,2,6,27,50,6.77,451,Barley
6,2,5,36,69,7.25,569,Barley
30,33,2,36,52,6.27,559,Millets
23,6,6,37,68,6.42,877,Tobacco
10,10,11,38,67,6.69,584,Maize
24,10,7,29,51,6.09,1045,Sugarcane
31,22,12,25,61,7.68,888,Cotton
37,15,19,29,55,6.16,1652,Sugarcane
5,22,14,29,61,7.45,977,Cotton
25,35,2,36,68,6.3,1026,Ground Nuts
24,19,10,28,64,6.5,534,Oil seeds
8,24,11,25,71,6.98,759,Pulses
16,5,6,26,66,7.3,616,Oil seeds
5,41,9,29,56,6.77,519,Millets
39,17,4,34,60,6.81,700,Ground Nuts
20,12,2,32,69,6.97,599,Maize
39,42,16,27,70,7.93,1166,Cotton
22,27,19,35,61,6.12,996,Tobacco
9,7,11,30,57,7,1322,Paddy
10,39,16,25,69,6.37,775,Maize
36,2,9,32,60,6.41,596,Maize
25,28,10,37,60,5.56,1088,Paddy
36,25,2,30,64,8.19,812,Cotton
21,30,0,37,59,7.91,930,Cotton
12,13,18,38,68,7.28,967,Wheat
38,0,3,31,59,7.35,787,Pulses
23,21,11,36,60,6.45,776,Ground Nuts
36,24,15,31,53,6.21,715,Tobacco
6,16,19,32,51,7.88,747,Oil seeds
8,35,12,33,72,7.48,414,Millets
35,37,4,29,67,6.16,941,Ground Nuts
13,32,17,26,54,7.41,608,Maize
19,25,18,28,64,6.28,782,Ground Nuts
27,4,12,36,56,6.65,927,Tobacco
8,3,9,27,67,6.33,706,Pulses
27,3,9,38,57,6.83,579,Millets
24,28,5,37,64,6.23,867,Wheat
12,32,2,27,54,6.95,1905,Sugarcane
30,7,3,36,61,7.33,1645,Sugarcane
30,42,17,32,51,5.99,1319,Paddy
20,26,1,34,61,6.84,624,Oil seeds
15,2,2,35,54,6.85,1040,Paddy
28,16,8,27,60,6.5,729,Tobacco
15,13,6,36,58,7.74,944,Cotton
22,28,1,30,64,6.12,1028,Paddy
4,8,0,34,61,6.47,365,Millets
7,34,1,37,55,6.7,1686,Sugarcane
30,19,18,25,64,6.36,1948,Sugarcane
13,20,10,25,56,7.5,552,Barley
39,7,8,30,72,6.21,857,Ground Nuts
10,35,19,34,67,7.98,703,Cotton
22,33,15,30,67,7.81,817,Cotton
8,40,19,36,61,7.28,790,Maize
15,39,3,32,52,6.54,651,Wheat
42,20,8,36,52,7.63,622,Oil seeds
21,5,2,37,52,6.77,421,Wheat
6,23,0,36,62,6.56,1328,Paddy
36,30,3,37,58,5.58,1382,Paddy
31,37,9,30,70,7.49,1180,Cotton
35,6,13,34,59,6.7,1850,Sugarcane
8,9,11,36,58,6.77,951,Tobacco
10,33,18,33,71,7.24,301,Millets
28,6,8,34,68,6.52,1974,Sugarcane
39,39,13,30,65,6.9,484,Millets
31,0,11,35,53,6.24,423,Millets
16,27,16,37,56,6.96,534,Ground Nuts
34,21,14,28,62,7.99,547,Oil seeds
9,21,16,30,57,5.59,1019,Paddy
8,9,2,29,52,6.99,554,Maize
33,28,12,27,55,7.39,798,Barley
18,4,17,25,58,7.17,1623,Sugarcane
25,30,5,26,72,7.37,596,Millets
23,0,1,31,55,7,623,Oil seeds
15,42,9,25,71,7.67,485,Oil seeds
41,12,9,37,52,6.61,661,Barley
9,2,10,35,68,7.09,469,Pulses
28,9,3,25,60,6.11,1162,Sugarcane
5,14,3,38,63,7.43,642,Maize
25,12,14,38,53,7.25,836,Cotton
35,33,6,32,65,7.25,498,Barley
28,12,8,26,68,6.59,1521,Sugarcane
39,37,1,38,62,7.54,943,Wheat
13,32,16,34,57,7.08,605,Oil seeds
28,2,8,29,64,7.29,957,Cotton
7,19,3,38,63,6.16,304,Millets
7,21,2,27,55,7.1,1944,Sugarcane
18,8,0,35,51,7.15,818,Cotton
13,18,1,36,70,6.31,895,Wheat
17,10,0,35,61,6.87,759,Maize
7,26,17,26,50,6.12,1449,Sugarcane
42,12,12,33,55,6.79,1464,Paddy
12,24,2,33,57,6.38,477,Pulses
17,12,16,33,64,6.96,1924,Sugarcane
37,15,2,31,63,7.14,1169,Cotton
7,18,3,25,66,6.65,457,Millets
14,25,13,33,56,6.64,865,Tobacco
21,4,15,31,51,5.68,865,Tobacco
32,27,19,27,52,7.77,582,Oil seeds
22,40,6,26,57,6.83,433,Oil seeds
31,34,12,25,66,7.71,822,Cotton
18,8,10,32,60,6.05,1118,Ground Nuts
8,1,16,33,50,7.66,651,Wheat
10,10,16,26,65,7.12,537,Wheat
4,30,2,35,51,7.17,367,Barley
28,13,17,36,59,7.18,534,Barley
28,36,11,26,58,6.52,550,Wheat
21,10,8,31,56,6.78,1012,Ground Nuts
34,3,14,32,59,6.49,699,Wheat
7,14,7,26,58,7.33,1120,Sugarcane
25,27,12,26,61,6.53,515,Oil seeds
24,16,12,26,55,7.62,762,Oil seeds
17,40,10,32,65,6.01,1026,Ground Nuts
28,16,3,33,65,7.32,537,Millets
17,4,13,31,62,6.87,748,Maize
20,42,9,36,61,6.21,955,Tobacco
18,29,14,27,55,7.15,460,Millets
21,8,11,29,53,6.93,1196,Paddy
6,8,0,30,59,5.82,1237,Paddy
14,15,3,38,51,6.51,518,Wheat
26,42,12,27,53,6.19,1060,Paddy
24,7,16,32,54,6.26,1357,Paddy
19,2,3,37,55,7.68,789,Oil seeds
17,10,3,37,53,7.89,777,Oil seeds
20,39,0,32,50,6.55,1225,Paddy
37,41,9,31,64,7.26,388,Millets
32,8,12,37,63,7.36,1953,Sugarcane
38,15,2,29,52,7.37,699,Pulses
41,24,6,30,58,6.23,1302,Paddy
24,40,11,34,51,6.38,891,Tobacco
8,37,18,28,55,7.35,515,Millets
33,40,1,28,57,6.16,616,Pulses
14,28,9,34,70,6.11,325,Millets
31,27,15,28,61,7.21,826,Wheat
30,37,4,25,68,6.83,698,Barley
31,7,4,37,60,7.67,522,Oil seeds
11,15,3,38,63,7.91,780,Oil seeds
24,10,1,38,66,6.22,1876,Sugarcane
19,8,2,33,71,6.05,747,Maize
32,26,14,26,52,6.5,532,Oil seeds
33,7,11,30,59,7.1,1148,Sugarcane
26,11,3,27,72,7.05,302,Barley
38,40,11,38,54,6.47,789,Pulses
8,39,3,28,65,7.76,573,Oil seeds
10,21,16,36,52,6.26,1111,Paddy
7,38,3,29,57,6.92,1048,Sugarcane
21,6,19,38,71,6.72,423,Pulses
9,39,6,28,72,7.06,506,Maize
19,22,11,34,50,6.11,599,Barley
9,1,4,31,66,7.75,759,Cotton
20,10,9,33,51,5.68,1050,Paddy
34,41,9,27,56,6.7,794,Wheat
31,27,13,29,58,6.73,548,Ground Nuts
32,6,15,25,53,7.94,966,Cotton
21,20,15,31,62,6.19,310,Barley
31,16,13,37,69,6.58,718,Barley
24,32,7,31,67,6.92,1379,Paddy
8,17,12,25,63,7.09,908,Ground Nuts
29,40,8,28,65,7.12,706,Ground Nuts
20,17,2,31,60,5.58,672,Tobacco
38,4,3,33,70,7.27,1857,Sugarcane
11,39,19,25,56,6.02,527,Wheat
27,39,0,26,71,6.99,520,Oil seeds
12,24,6,34,61,7.46,357,Millets
33,18,11,27,72,6.14,589,Barley
7,14,10,26,69,7.16,335,Barley
18,21,16,35,65,6.24,1787,Sugarcane
15,5,13,38,54,6.99,1502,Sugarcane
34,11,13,33,72,7.37,346,Barley
37,38,0,30,67,6.34,488,Barley
26,10,16,35,64,6.11,585,Maize
41,32,9,28,72,6.85,526,Pulses
8,22,17,27,65,6.53,1677,Sugarcane
27,9,12,33,60,7.06,893,Cotton
21,7,7,36,68,6.32,1158,Paddy
13,28,4,33,52,6.47,547,Barley
29,42,7,38,55,6.71,847,Ground Nuts
10,18,12,32,54,7.12,563,Ground Nuts
26,19,10,28,63,7.67,407,Wheat
24,8,11,35,69,6.75,988,Tobacco
24,22,0,30,63,6.66,621,Barley
16,6,18,31,54,6.68,1103,Sugarcane
11,24,1,27,59,7.08,713,Cotton
38,21,13,38,68,6.72,753,Maize
29,42,18,27,55,6.12,338,Barley
22,37,19,25,62,6.19,1201,Paddy
6,29,10,25,64,5.88,962,Tobacco
18,38,1,34,58,6.31,1260,Paddy
4,39,12,29,71,6.34,938,Ground Nuts
7,37,18,38,69,7.48,508,Millets
13,4,1,34,60,6.34,612,Wheat
21,15,0,29,67,6.41,512,Wheat
8,39,15,38,67,6.75,1149,Ground Nuts
26,35,14,28,54,7.45,1956,Sugarcane
19,0,12,36,51,6.34,825,Wheat
40,31,19,34,62,7.62,982,Wheat
36,3,11,28,52,6.76,1315,Sugarcane
26,29,10,25,52,6.89,1301,Paddy
38,29,18,25,54,6.53,413,Millets
41,20,13,32,60,6.15,507,Ground Nuts
13,3,2,37,50,6.99,1136,Sugarcane
20,5,8,38,52,6.19,1383,Sugarcane
33,22,7,25,71,6.12,483,Pulses
22,31,19,28,56,7.04,687,Ground Nuts
9,34,9,34,53,6.08,316,Barley
37,7,4,35,54,7.58,410,Oil seeds
16,2,2,38,64,6.31,606,Maize
35,0,18,35,72,6.01,542,Ground Nuts
16,36,5,36,56,6.58,561,Barley
13,27,18,26,65,6.67,526,Millets
35,20,14,34,55,6.74,1459,Paddy
18,4,11,32,71,6.81,748,Barley
20,8,0,28,71,7.22,594,Maize
29,4,18,37,56,6.8,715,Oil seeds
39,41,11,33,58,6.65,420,Wheat
20,19,15,29,64,6.23,1394,Paddy
7,12,7,25,68,6.46,531,Maize
37,4,6,37,62,6.6,745,Oil seeds
26,9,14,26,60,6.02,722,Ground Nuts
14,21,14,25,69,6.14,668,Tobacco
5,6,18,34,71,7.54,549,Oil seeds
18,23,6,33,72,7.1,938,Wheat
30,41,1,32,72,6.69,831,Pulses
39,28,3,27,51,6.62,1799,Sugarcane
21,4,0,29,56,7.27,1591,Sugarcane
31,29,1,29,62,6.61,518,Maize
29,16,3,35,54,6.68,627,Tobacco
38,7,12,31,53,7.42,788,Maize
10,41,18,28,59,7.21,1859,Sugarcane
27,28,11,31,60,6.13,1794,Sugarcane
33,2,1,34,66,6.9,609,Oil seeds
8,17,2,31,69,7.15,739,Oil seeds
13,30,5,27,70,6.56,732,Maize
32,10,12,27,65,6.15,632,Wheat
20,21,9,37,59,6.41,1418,Paddy
23,18,14,34,59,6.4,1063,Ground Nuts
10,39,8,26,50,6.18,763,Wheat
14,15,19,33,55,6.82,1235,Paddy
33,38,12,29,61,7.04,697,Ground Nuts
37,12,11,28,56,7.2,912,Ground Nuts
16,19,17,29,70,7.55,443,Wheat
10,13,10,29,58,6.82,557,Oil seeds
19,28,18,29,54,7.43,380,Barley
20,13,0,35,69,6.16,835,Ground Nuts
41,27,10,35,62,7.26,1133,Sugarcane
6,0,0,32,68,5.51,1489,Paddy
15,7,1,28,64,7.45,486,Millets
25,17,15,35,59,7.02,447,Pulses
4,41,1,26,61,6.42,1348,Sugarcane
7,34,5,33,52,7.59,947,Cotton
5,38,8,35,56,7.83,1028,Cotton
14,12,1,32,64,6.74,661,Tobacco
7,41,18,26,72,6.21,954,Tobacco
13,38,1,34,53,5.75,749,Tobacco
6,25,8,34,59,7.01,952,Ground Nuts
14,12,19,37,62,6.25,599,Millets
12,18,14,31,59,7.04,834,Cotton
20,10,1,34,52,6.59,805,Tobacco
36,7,5,35,66,5.64,1132,Paddy
16,4,19,34,70,6.17,539,Millets
13,35,10,26,50,6.42,1274,Paddy
16,32,15,25,56,7.27,854,Wheat
25,9,4,27,50,7.17,880,Ground Nuts
9,5,4,34,67,7.08,917,Cotton
29,9,6,26,61,6.13,406,Barley
11,3,8,28,66,7.21,571,Millets
5,37,12,34,52,6.29,620,Maize
26,40,3,34,65,6.74,462,Pulses
14,24,16,31,60,6.28,529,Millets
10,20,12,26,62,7.07,676,Maize
10,20,18,38,64,6.93,475,Millets
18,22,7,28,71,6.42,548,Millets
15,37,5,37,54,7.92,697,Oil seeds
37,32,14,29,53,6.79,566,Barley
34,28,7,36,60,7.15,405,Pulses
35,39,5,32,65,5.63,950,Tobacco
36,0,0,30,55,6.36,895,Tobacco
27,28,13,35,51,6.13,670,Barley
34,15,2,35,59,7.28,508,Maize
4,35,8,27,59,6.71,355,Barley
4,7,15,31,53,7.15,1423,Sugarcane
